ES_PRECLUSIÓN,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,AÑO_HECHOS,AÑO_ENTRADA,AÑO_DENUNCIA,DELITO,TOTAL_PROCESOS,shape_leng,shape_area,dpto_narea
NO,Santander,LOS SANTOS,2020,2020,2020,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,11.8780221134,2.49910965538,30561.565448
NO,Atlántico,PUERTO COLOMBIA,2020,2020,2020,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,2.57160117315,0.27382342738,3314.45839315
NO,Santander,GIRÓN,2022,2022,2022,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,11.8780221134,2.49910965538,30561.565448
NO,Bolívar,CARTAGENA,2020,2022,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,16.2734304452,2.19566893448,26720.3286039
NO,Valle del Cauca,LA UNIÓN,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,12.6568228841,1.67948958582,20665.581324
NO,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2023,2023,2023,DE LOS ATENTADOS INFORMATICOS Y OTRAS INFRACCIONES,1,3.76537101301,0.13220788538,1622.8529796
NO,Cauca,MIRANDA,2023,2023,2023,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,13.9531135167,2.5344153441,31242.8671159
NO,Antioquia,TOLEDO,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
NO,Atlántico,GALAPA,2021,2021,2021,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,2.57160117315,0.27382342738,3314.45839315
NO,Valle del Cauca,LA UNIÓN,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,12.6568228841,1.67948958582,20665.581324
NO,Huila,NEIVA,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,19.3941026673,4.50890774976,18141.6605485
NO,Valle del Cauca,BUGALAGRANDE,2023,2023,2023,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,12.6568228841,1.67948958582,20665.581324
NO,Nariño,PASTO,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,6,12.8395081019,2.54843109135,31497.0335099
NO,Boyaca,DUITAMA,2022,2022,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,15.906766577,1.88838670901,23137.9976372
NO,Meta,PUERTO GAITÁN,2020,2020,2020,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,1,18.1945932784,6.73617147417,82830.3839042
NO,Bolívar,CARTAGENA,2020,2020,2020,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,3,16.2734304452,2.19566893448,26720.3286039
NO,Cundinamarca,ZIPAQUIRÁ,2023,2023,2023,USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009,1,13.1242523552,1.82362856343,22370.4571891
NO,Risaralda,APÍA,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,3,4.85153003237,0.28978864568,3556.75006367
NO,Boyaca,SABOYÁ,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,15.906766577,1.88838670901,23137.9976372
NO,La Guajira,MAICAO,2023,2023,2023,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,10.792601093,1.70697645445,20620.2390234
NO,Antioquia,CAUCASIA,2021,2021,2021,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,21.4927974328,5.13510342668,62807.0043767
NO,Boyaca,SOGAMOSO,2023,2023,2023,"ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",1,15.906766577,1.88838670901,23137.9976372
NO,Putumayo,SAN FRANCISCO,2020,2020,2020,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,12.7079224606,2.10796483335,25976.2831054
NO,Cundinamarca,SOACHA,2022,2022,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",1,13.1242523552,1.82362856343,22370.4571891
